index,has_he a,has_dat,status
0318,True,True,OK
0319,True,True,OK
0320,True,True,OK
0321,True,True,OK
0322,True,True,OK
0323,True,True,OK
0324,True,True,OK
0325,True,True,OK
0326,True,True,OK
0327,True,True,OK
0328,True,True,OK
0329,True,True,OK
0330,True,True,OK
0331,True,True,OK
0332,True,True,OK
0333,True,True,OK
0334,True,True,OK
0335,True,True,OK
0336,True,True,OK
0337,True,True,OK
0338,True,True,OK
0339,True,True,OK
0340,True,True,OK
0341,True,True,OK
0342,True,True,OK
0343,True,True,OK
0344,True,True,OK
0345,True,True,OK
0346,True,True,OK
0347,True,True,OK
0348,True,True,OK
0349,True,True,OK
0350,True,True,OK
0351,True,True,OK
0352,True,True,OK
0353,True,True,OK
0354,True,True,OK
0355,True,True,OK
0356,True,True,OK
0357,True,True,OK
0358,True,True,OK
0359,True,True,OK
0360,True,True,OK
0361,True,True,OK
0362,True,True,OK
0363,True,True,OK
0364,True,True,OK
0365,True,True,OK
0366,True,True,OK
0367,True,True,OK
0368,True,True,OK
0369,True,True,OK
0370,True,True,OK
0371,True,True,OK
0372,True,True,OK
0373,True,True,OK
0374,True,True,OK
0375,True,True,OK
0376,True,True,OK
0377,True,True,OK
0378,True,True,OK
0379,True,True,OK
0380,True,True,OK
0381,True,True,OK
0382,True,True,OK
0383,True,True,OK
0384,True,True,OK
0385,True,True,OK
0386,True,True,OK
0387,True,True,OK
0388,True,True,OK
0389,True,True,OK
0390,True,True,OK
0391,True,True,OK
0392,True,True,OK
0393,True,True,OK
0394,True,True,OK
0395,True,True,OK
0396,True,True,OK
0397,True,True,OK
0398,True,True,OK
0399,True,True,OK
0400,True,False,MISSING_DAT
0401,True,True,OK
0402,True,True,OK
0403,True,True,OK
0404,True,True,OK
0405,True,True,OK
0406,True,True,OK
0407,True,True,OK
0408,True,True,OK
0409,True,True,OK
0410,True,True,OK
0411,True,True,OK
0412,True,True,OK
0413,True,True,OK
0414,True,True,OK
0415,True,True,OK
0416,True,True,OK
0417,True,True,OK
0418,True,True,OK
0419,True,True,OK
0420,True,True,OK
0421,True,True,OK
0422,True,True,OK
0423,True,True,OK
0424,True,True,OK
0425,True,True,OK
0426,True,True,OK
0427,True,True,OK
0428,True,True,OK
0429,True,True,OK
0430,True,True,OK
0431,True,True,OK
0432,True,True,OK
0433,True,True,OK
0434,True,True,OK
0435,True,True,OK
0436,True,True,OK
0437,True,True,OK
0438,True,True,OK
0439,True,True,OK
0440,True,True,OK
0441,True,True,OK
0442,True,True,OK
0443,True,True,OK
0444,True,True,OK
0445,True,True,OK
0446,True,True,OK
0447,True,True,OK
0448,True,True,OK
0449,True,True,OK
0450,True,True,OK
0451,True,True,OK
0452,True,True,OK
0453,True,True,OK
0454,True,True,OK
0455,True,True,OK
0456,True,True,OK
0457,True,True,OK
0458,True,True,OK
0459,True,True,OK
0460,True,True,OK
0461,True,True,OK
0462,True,True,OK
0463,True,True,OK
0464,True,True,OK
0465,True,True,OK
0466,True,True,OK
0467,True,True,OK
0468,True,True,OK
0469,True,True,OK
0470,True,True,OK
0471,True,True,OK
0472,True,True,OK
0473,True,True,OK
0474,True,True,OK
0475,True,True,OK
0476,True,True,OK
0477,True,True,OK
0478,True,True,OK
0479,True,True,OK
0480,True,True,OK
0481,True,True,OK
0482,True,True,OK
0483,True,True,OK
0484,True,True,OK
0485,True,True,OK
0486,True,True,OK
0487,True,True,OK
0488,True,True,OK
0489,True,True,OK
0490,True,True,OK
0491,True,True,OK
0492,True,True,OK
0493,True,True,OK
0494,True,True,OK
0495,True,True,OK
0496,True,True,OK
0497,True,True,OK
0498,True,True,OK
0499,True,True,OK
0500,True,True,OK
0501,True,True,OK
0502,True,True,OK
0503,True,True,OK
0504,True,True,OK
0505,True,True,OK
0506,True,True,OK
0507,True,True,OK
0508,True,True,OK
0509,True,True,OK
0510,True,True,OK
