name_ecg,quality
0394,Barely acceptable
0395,Barely acceptable
0396,Barely acceptable
0397,Barely acceptable
0399,Barely acceptable
0401,Barely acceptable
0402,Unacceptable
0403,Barely acceptable
0405,Unacceptable
0406,Unacceptable
0408,Barely acceptable
0409,Barely acceptable
0410,Barely acceptable
0412,Barely acceptable
0413,Barely acceptable
0414,Barely acceptable
0415,Barely acceptable
0416,Barely acceptable
0418,Barely acceptable
0419,Unacceptable
0420,Unacceptable
0421,Unacceptable
0422,Barely acceptable
0424,Barely acceptable
0426,Barely acceptable
0428,Barely acceptable
0429,Barely acceptable
0434,Barely acceptable
0437,Barely acceptable
0438,Unacceptable
0440,Barely acceptable
0443,Barely acceptable
0445,Barely acceptable
0446,Barely acceptable
0447,Barely acceptable
0448,Unacceptable
0449,Unacceptable
0450,Unacceptable
0451,Barely acceptable
0453,Barely acceptable
0455,Unacceptable
0457,Barely acceptable
0458,Barely acceptable
0459,Barely acceptable
0460,Unacceptable
0461,Barely acceptable
0462,Barely acceptable
0464,Barely acceptable
0466,Barely acceptable
0467,Barely acceptable
0468,Barely acceptable
0470,Barely acceptable
0471,Barely acceptable
0472,Barely acceptable
0477,Barely acceptable
0478,Barely acceptable
0479,Barely acceptable
0481,Unacceptable
0482,Barely acceptable
0486,Barely acceptable
0487,Barely acceptable
0488,Barely acceptable
0490,Barely acceptable
0491,Barely acceptable
0493,Barely acceptable
0495,Unacceptable
0496,Barely acceptable
0497,Barely acceptable
0499,Barely acceptable
0500,Barely acceptable
0502,Barely acceptable
0503,Barely acceptable
0504,Barely acceptable
0505,Barely acceptable
0506,Barely acceptable
0507,Barely acceptable
0508,Unacceptable
0509,Barely acceptable
0511,Barely acceptable
0513,Barely acceptable
0514,Barely acceptable
0515,Barely acceptable
0517,Barely acceptable
0518,Barely acceptable
0519,Barely acceptable
0520,Barely acceptable
0521,Barely acceptable
0523,Unacceptable
0525,Barely acceptable
0526,Barely acceptable
0527,Barely acceptable
0528,Barely acceptable
0530,Barely acceptable
0531,Barely acceptable
0534,Barely acceptable
0535,Barely acceptable
0537,Barely acceptable
0539,Barely acceptable
0540,Barely acceptable
0542,Barely acceptable
0543,Barely acceptable
0545,Barely acceptable
0548,Barely acceptable
0549,Barely acceptable
0550,Barely acceptable
0551,Barely acceptable
0554,Barely acceptable
0557,Barely acceptable
0559,Barely acceptable
0560,Barely acceptable
0561,Barely acceptable
0562,Barely acceptable
0563,Barely acceptable
0564,Barely acceptable
0565,Barely acceptable
0566,Unacceptable
0567,Barely acceptable
0570,Barely acceptable
0571,Barely acceptable
0572,Barely acceptable
0575,Barely acceptable
0576,Barely acceptable
0577,Barely acceptable
0582,Barely acceptable
0583,Unacceptable
0584,Barely acceptable
0585,Barely acceptable
0586,Barely acceptable
0587,Barely acceptable
0589,Barely acceptable
0591,Barely acceptable
0592,Barely acceptable
0593,Barely acceptable
0594,Barely acceptable
0595,Barely acceptable
0596,Barely acceptable
0597,Barely acceptable
0598,Barely acceptable
0600,Barely acceptable
0602,Barely acceptable
0603,Barely acceptable
0604,Barely acceptable
0605,Barely acceptable
0606,Barely acceptable
0607,Barely acceptable
0608,Barely acceptable
0612,Barely acceptable
0614,Barely acceptable
0615,Barely acceptable
0616,Barely acceptable
0619,Barely acceptable
0620,Barely acceptable
0621,Barely acceptable
0622,Barely acceptable
0623,Unacceptable
0624,Barely acceptable
0625,Barely acceptable
0626,Barely acceptable
0627,Unacceptable
0628,Unacceptable
0630,Barely acceptable
0631,Barely acceptable
0632,Barely acceptable
0633,Barely acceptable
0634,Barely acceptable
0635,Barely acceptable
0636,Barely acceptable
0637,Barely acceptable
0638,Barely acceptable
0639,Barely acceptable
0640,Barely acceptable
0641,Barely acceptable
0642,Barely acceptable
0646,Barely acceptable
0647,Unacceptable
0648,Barely acceptable
0649,Barely acceptable
0650,Barely acceptable
0651,Barely acceptable
0652,Unacceptable
0653,Barely acceptable
0654,Barely acceptable
0657,Barely acceptable
0658,Barely acceptable
0659,Unacceptable
0660,Barely acceptable
0661,Unacceptable
0662,Barely acceptable
0663,Barely acceptable
0664,Barely acceptable
0665,Barely acceptable
0667,Barely acceptable
0669,Barely acceptable
0670,Barely acceptable
0671,Barely acceptable
0673,Barely acceptable
0676,Barely acceptable
0677,Barely acceptable
0678,Barely acceptable
0680,Barely acceptable
0681,Barely acceptable
0682,Unacceptable
0684,Barely acceptable
0685,Barely acceptable
0687,Barely acceptable
0689,Unacceptable
0690,Barely acceptable
0692,Barely acceptable
0694,Barely acceptable
0695,Barely acceptable
0697,Barely acceptable
0698,Barely acceptable
0699,Barely acceptable
0700,Barely acceptable
0703,Barely acceptable
0704,Barely acceptable
0705,Barely acceptable
0706,Barely acceptable
0707,Barely acceptable
0708,Barely acceptable
0709,Barely acceptable
0710,Barely acceptable
0711,Barely acceptable
0713,Unacceptable
0714,Barely acceptable
0715,Barely acceptable
0716,Barely acceptable
0717,Barely acceptable
0719,Barely acceptable
0721,Barely acceptable
0722,Barely acceptable
0723,Barely acceptable
0724,Barely acceptable
0725,Barely acceptable
0727,Barely acceptable
0729,Unacceptable
0730,Barely acceptable
0732,Barely acceptable
0733,Unacceptable
0734,Barely acceptable
0735,Barely acceptable
0737,Barely acceptable
0738,Barely acceptable
0741,Barely acceptable
0743,Barely acceptable
0744,Barely acceptable
0745,Barely acceptable
0747,Barely acceptable
0750,Barely acceptable
0754,Barely acceptable
0755,Barely acceptable
0756,Barely acceptable
0757,Barely acceptable
0758,Barely acceptable
0759,Barely acceptable
0760,Barely acceptable
0761,Barely acceptable
0763,Barely acceptable
0764,Barely acceptable
0766,Barely acceptable
0767,Barely acceptable
0768,Barely acceptable
0769,Barely acceptable
0770,Barely acceptable
0771,Barely acceptable
0772,Barely acceptable
0776,Barely acceptable
0778,Barely acceptable
0779,Barely acceptable
0781,Barely acceptable
0782,Barely acceptable
0783,Unacceptable
0784,Unacceptable
0785,Barely acceptable
0786,Barely acceptable
0787,Barely acceptable
0788,Barely acceptable
0789,Barely acceptable
0790,Barely acceptable
0791,Barely acceptable
0792,Barely acceptable
0793,Barely acceptable
0794,Barely acceptable
0797,Barely acceptable
0798,Barely acceptable
0799,Barely acceptable
0800,Barely acceptable
0802,Barely acceptable
0803,Barely acceptable
0804,Barely acceptable
0805,Barely acceptable
0806,Unacceptable
0807,Barely acceptable
0808,Barely acceptable
0809,Barely acceptable
0810,Barely acceptable
0811,Barely acceptable
0812,Barely acceptable
0813,Barely acceptable
0814,Barely acceptable
0816,Barely acceptable
0817,Barely acceptable
0818,Unacceptable
0819,Barely acceptable
0820,Barely acceptable
0821,Barely acceptable
0822,Unacceptable
0823,Unacceptable
0824,Barely acceptable
0826,Barely acceptable
0827,Barely acceptable
0828,Barely acceptable
0829,Barely acceptable
0831,Barely acceptable
0832,Barely acceptable
0833,Barely acceptable
0834,Barely acceptable
0835,Barely acceptable
0836,Barely acceptable
0839,Unacceptable
0840,Barely acceptable
0842,Barely acceptable
0844,Barely acceptable
0845,Barely acceptable
0846,Barely acceptable
0848,Barely acceptable
0850,Unacceptable
0851,Barely acceptable
0852,Barely acceptable
0854,Barely acceptable
0855,Unacceptable
0856,Barely acceptable
0857,Unacceptable
0858,Barely acceptable
0859,Barely acceptable
0860,Unacceptable
0861,Barely acceptable
0863,Barely acceptable
0864,Barely acceptable
0865,Barely acceptable
0867,Barely acceptable
0870,Barely acceptable
0871,Barely acceptable
0872,Barely acceptable
0873,Barely acceptable
0874,Barely acceptable
0875,Barely acceptable
0876,Barely acceptable
0878,Barely acceptable
0879,Barely acceptable
0880,Barely acceptable
0881,Barely acceptable
0882,Barely acceptable
0883,Barely acceptable
0884,Unacceptable
0885,Barely acceptable
0887,Barely acceptable
0890,Barely acceptable
0892,Barely acceptable
0894,Unacceptable
0895,Barely acceptable
0896,Barely acceptable
0897,Barely acceptable
0898,Barely acceptable
0899,Barely acceptable
0902,Barely acceptable
0903,Barely acceptable
0904,Barely acceptable
0905,Barely acceptable
0909,Barely acceptable
0910,Barely acceptable
0911,Barely acceptable
0913,Barely acceptable
0915,Barely acceptable
0916,Barely acceptable
0918,Barely acceptable
0919,Barely acceptable
0920,Barely acceptable
0921,Barely acceptable
0922,Barely acceptable
0926,Barely acceptable
0927,Barely acceptable
0928,Barely acceptable
0931,Barely acceptable
0932,Barely acceptable
0934,Barely acceptable
0935,Barely acceptable
0936,Barely acceptable
0937,Barely acceptable
0939,Barely acceptable
0940,Unacceptable
0941,Barely acceptable
0944,Barely acceptable
0945,Barely acceptable
0946,Barely acceptable
0947,Barely acceptable
0948,Barely acceptable
0949,Unacceptable
0950,Barely acceptable
0953,Barely acceptable
0954,Barely acceptable
0955,Barely acceptable
0956,Barely acceptable
0957,Barely acceptable
0958,Barely acceptable
0959,Barely acceptable
0960,Barely acceptable
0961,Barely acceptable
0962,Barely acceptable
0964,Barely acceptable
0965,Barely acceptable
0966,Barely acceptable
0967,Barely acceptable
0969,Barely acceptable
0970,Unacceptable
0971,Barely acceptable
0973,Barely acceptable
0976,Barely acceptable
0979,Barely acceptable
0981,Barely acceptable
0982,Barely acceptable
0983,Barely acceptable
0984,Barely acceptable
0985,Barely acceptable
0986,Barely acceptable
0987,Barely acceptable
0989,Barely acceptable
0990,Barely acceptable
0991,Barely acceptable
0992,Barely acceptable
0993,Barely acceptable
0995,Barely acceptable
0996,Barely acceptable
0997,Barely acceptable
0999,Barely acceptable
1000,Barely acceptable
1001,Barely acceptable
1002,Barely acceptable
1003,Barely acceptable
1004,Barely acceptable
1005,Barely acceptable
1006,Barely acceptable
1008,Barely acceptable
1010,Barely acceptable
1011,Unacceptable
1014,Barely acceptable
1017,Barely acceptable
1018,Barely acceptable
1019,Barely acceptable
